Unit;CPT01;CPT02;CPT03;CPT04;CPT05;CPT06;CPT07;
br.ufc.great.sysadmin.MvcConfig;;;;;;;;
br.ufc.great.sysadmin.SystemApplication;;;;;;;;
br.ufc.great.sysadmin.controller.AccessControlController;;X;;;;;;
br.ufc.great.sysadmin.controller.DashboardController;;X;;;;;;
br.ufc.great.sysadmin.controller.FileUploadController;;X;;;;;;
br.ufc.great.sysadmin.controller.MyErrorController;;X;;;;;;
br.ufc.great.sysadmin.controller.PersonController;;X;;;;;;
br.ufc.great.sysadmin.controller.UserController;;X;;;;;;
br.ufc.great.sysadmin.model.AbstractModel;;;;;X;;;
br.ufc.great.sysadmin.model.Comment;;;;;X;;;
br.ufc.great.sysadmin.model.Likes;;;;;X;;;
br.ufc.great.sysadmin.model.Person;;;;;X;;;
br.ufc.great.sysadmin.model.Picture;;;;;X;;;
br.ufc.great.sysadmin.model.Post;;;;;X;;;
br.ufc.great.sysadmin.model.Role;;;;;X;;;
br.ufc.great.sysadmin.model.Users;;;;;X;;;
br.ufc.great.sysadmin.repository.IAuthoritiesRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.ICommentRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.ILikesRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.IPersonRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.IPictureRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.IPostRepository;;;;X;;;;
br.ufc.great.sysadmin.repository.IUsersRepository;;;;X;;;;
br.ufc.great.sysadmin.security.WebSecurityConfig;;;;;;;X;
br.ufc.great.sysadmin.service.AbstractService;;;;;;;;
br.ufc.great.sysadmin.service.AuthoritiesService;;;;;;;;
br.ufc.great.sysadmin.service.CommentService;;;;;;;;
br.ufc.great.sysadmin.service.LikesService;;;;;;;;
br.ufc.great.sysadmin.service.PersonService;;;;;;;;
br.ufc.great.sysadmin.service.PictureService;;;;;;;;
br.ufc.great.sysadmin.service.PostService;;;;;;;;
br.ufc.great.sysadmin.service.UsersService;;;;;;;;
br.ufc.great.sysadmin.util.Constantes;;;;;;X;;
br.ufc.great.sysadmin.util.GeradorQRCode;;;;;;X;;
br.ufc.great.sysadmin.util.GeradorSenha;;;;;;X;;
br.ufc.great.sysadmin.util.ManipuladorDatas;;;;;;X;;
br.ufc.great.sysadmin.util.MySessionInfo;;;;;;X;;
br.ufc.great.sysadmin.util.aws.s3.S3ClientManipulator;;;;;;X;;
br.ufc.great.sysadmin.util.monitoring.ActiveUserStore;;;;;;X;;
